"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"PTPRO",0.102203492222103,-0.0723189462674565,0.052,0.02,1,"PTPRO"
"RGS17",0.102203492222103,-0.0307383687225626,0.052,0.02,1,"RGS17"
"SPRY3",0.102203492222103,-0.0661707966538842,0.052,0.02,1,"SPRY3"
"PNMA3",0.102203492222103,-0.0521298010938675,0.052,0.02,1,"PNMA3"
"CDH2",0.102203492222103,-0.043416253547263,0.052,0.02,1,"CDH2"
"ZFHX4",0.102203492222103,-0.0555027695947984,0.052,0.02,1,"ZFHX4"
"NKG7",0.102279343659253,0.173993651589616,0.757,0.419,1,"NKG7"
"BAZ2A",0.102516193401854,-0.316486013426578,0.435,0.261,1,"BAZ2A"
"COX4I1",0.102529180894188,0.00265688335996961,0.974,0.573,1,"COX4I1"
"LRRC37A2",0.102640692560181,-0.373803080086545,0.409,0.245,1,"LRRC37A2"
"PIGL",0.10373322241876,-0.189134408423051,0.157,0.087,1,"PIGL"
"TTC16",0.103964192459832,-0.138432143042094,0.113,0.059,1,"TTC16"
"GPR65",0.103988112142862,-0.47813807398832,0.67,0.569,1,"GPR65"
"DCAF11",0.10470301360931,-0.241340526448615,0.861,0.704,1,"DCAF11"
"TBC1D5",0.104904641394759,-0.165318275263119,0.696,0.486,1,"TBC1D5"
"ZRSR2",0.10501581389914,-0.244465395051658,0.261,0.154,1,"ZRSR2"
"DGKD",0.105132380441931,-0.188765254302568,0.183,0.107,1,"DGKD"
"ACVR2A",0.105171768016624,-0.0790641201071428,0.096,0.047,1,"ACVR2A"
"TP53INP1",0.105324209835588,-0.336205329596671,0.383,0.229,1,"TP53INP1"
"PGBD2",0.105752995227793,-0.0470312358527794,0.122,0.067,1,"PGBD2"
"SPDYE5",0.106552057029654,-0.534507465918879,0.661,0.474,1,"SPDYE5"
"OSGEPL1",0.106763515970339,-0.109365935673756,0.174,0.103,1,"OSGEPL1"
"CASP6",0.107324056530876,-0.424972347342106,0.548,0.462,1,"CASP6"
"FLYWCH1",0.107594609520167,-0.246384404470233,0.191,0.111,1,"FLYWCH1"
"TXK",0.108254450693402,-0.684256466802294,0.174,0.213,1,"TXK"
"MACC1",0.108764336104794,-0.402546087524992,0.617,0.49,1,"MACC1"
"ZNF704",0.109242470184748,0.0321718816488242,0.191,0.123,1,"ZNF704"
"PLCL2",0.109616658117009,-0.19249449289946,0.13,0.071,1,"PLCL2"
"STX3",0.109751364942312,-0.429605594001247,0.357,0.348,1,"STX3"
"ATP6V0A1",0.109832617391646,0.00172497596825852,0.087,0.043,1,"ATP6V0A1"
"SFR1",0.110057629435223,-0.0540486068564492,0.548,0.352,1,"SFR1"
"UBE2O",0.110090766179778,-0.169220034657806,0.13,0.071,1,"UBE2O"
"SS18L1",0.110293029300829,-0.0850545571196071,0.409,0.269,1,"SS18L1"
"SUV39H2",0.110303252742648,-0.276637648732107,0.652,0.549,1,"SUV39H2"
