"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CCDC141",6.97680928926396e-270,0.839680753508226,0.6,0.047,1.06905648739392e-265,"3","CCDC141"
"SLC25A4",1.43639424827915e-268,2.45971361826328,1,0.426,2.20098690663814e-264,"3","SLC25A4"
"CLDN6",9.68936291372035e-265,0.715757684392523,0.453,0.015,1.48470107926937e-260,"3","CLDN6"
"MCRIP2",8.1261048908469e-264,1.12839495795012,0.803,0.131,1.24516305242447e-259,"3","MCRIP2"
"TNNI1",5.29657112792111e-261,3.25860011028155,1,0.582,8.11593593931352e-257,"3","TNNI1"
"MYL2",3.75734803909296e-258,3.65883280402923,0.987,0.451,5.75738440030215e-254,"3","MYL2"
"NAV1",1.18179440674502e-255,1.86533251547497,0.857,0.215,1.81086356945539e-251,"3","NAV1"
"PRKAA2",1.34352518524834e-255,0.868760018639336,0.631,0.064,2.05868364135603e-251,"3","PRKAA2"
"FHOD3",4.63625270061689e-255,0.820144502329227,0.648,0.065,7.10413001315526e-251,"3","FHOD3"
"MYL3",6.94245533061407e-252,3.65760141972277,0.983,0.514,1.06379243030999e-247,"3","MYL3"
"TECRL1",8.86446854444575e-249,1.47513067247422,0.96,0.207,1.35830251506542e-244,"3","TECRL"
"TNNT2",3.70754150382864e-247,3.1257708336403,1,0.534,5.68106584631663e-243,"3","TNNT2"
"KCNH2",1.08891364744988e-246,0.710071202198511,0.572,0.046,1.66854238198744e-242,"3","KCNH2"
"PFKP",3.74638548139381e-245,1.47787433549021,0.91,0.254,5.74058647313974e-241,"3","PFKP"
"PPP1R12B",2.73277383166248e-244,2.03164233932219,0.918,0.277,4.18742934225642e-240,"3","PPP1R12B"
"ACOT11",2.27608483418868e-243,0.980232938440655,0.702,0.099,3.48764479142732e-239,"3","ACOT11"
"MYO18B",7.61801729019351e-241,0.616399328609697,0.499,0.03,1.16730878937635e-236,"3","MYO18B"
"GPR22",1.73602064206035e-239,0.713583166134368,0.472,0.024,2.66010442982908e-235,"3","GPR22"
"ACTC1",1.42089350139476e-238,3.27539375129896,1,0.719,2.17723511218719e-234,"3","ACTC1"
"PPARGC1A",1.63094388562857e-237,0.600246979254183,0.465,0.025,2.49909531594866e-233,"3","PPARGC1A"
"MT-ND4",5.91066243255873e-237,1.76316602423638,1,0.992,9.05690804540975e-233,"3","MT-ND4"
"TPM1",1.06231868171086e-236,2.70791958309028,1,0.967,1.62779091598555e-232,"3","TPM1"
"TNNC1",1.30803081298619e-235,3.10496549095222,1,0.768,2.00429561473873e-231,"3","TNNC1"
"ATP2A2",1.72081195274918e-234,1.32600106907111,0.952,0.317,2.63680015519757e-230,"3","ATP2A2"
"PPP1R14C",3.59653465223389e-234,0.943004649494355,0.809,0.131,5.51097004761799e-230,"3","PPP1R14C"
"PLEKHA7",3.05089767095162e-232,0.682894759263162,0.524,0.041,4.67489050119917e-228,"3","PLEKHA7"
"MT-ND1",4.22237067828503e-232,1.92715014590695,1,0.977,6.46993859033615e-228,"3","MT-ND1"
"CORO6",4.70215288596739e-232,0.719243429338924,0.562,0.051,7.20510886716784e-228,"3","CORO6"
"RRAGD",1.72015884876273e-231,0.671016278879876,0.537,0.045,2.63579940395913e-227,"3","RRAGD"
"MDH1",4.80172954510417e-231,2.06665963962612,0.998,0.727,7.35769018196312e-227,"3","MDH1"
"COX5A",1.57207445706856e-230,1.80963998555427,1,0.845,2.40888969056616e-226,"3","COX5A"
"LINC00881",3.22044657595972e-228,0.89580355755043,0.656,0.082,4.93469028834308e-224,"3","LINC00881"
"LRRC10",2.29981808161711e-227,0.783518575372169,0.499,0.035,3.5240112464619e-223,"3","LRRC10"
"HAND1",3.983037961036e-227,0.573158075922112,0.409,0.015,6.10320906769546e-223,"3","HAND1"
"ATP5G3",8.83548163882393e-226,1.65609918472888,0.998,0.919,1.35386085151699e-221,"3","ATP5G3"
"CMYA5",3.24633887286856e-225,0.921180258017251,0.642,0.081,4.9743650548965e-221,"3","CMYA5"
"BMP5",1.99187706005464e-224,0.842966786713431,0.658,0.086,3.05215321912173e-220,"3","BMP5"
"SLC38A1",3.91703047256742e-224,1.03453997277619,0.74,0.134,6.00206579311506e-220,"3","SLC38A1"
"OBSCN",4.04260894380815e-220,0.747956604240081,0.562,0.058,6.19448968459723e-216,"3","OBSCN"
"MYL4",1.18885558117277e-219,2.54979762166762,1,0.606,1.82168340703104e-215,"3","MYL4"
"SH3RF2",3.37973956254006e-219,0.860442274947218,0.614,0.072,5.17877493168014e-215,"3","SH3RF2"
"MYL7",3.73855987173201e-219,2.81878528524169,1,0.903,5.72859529145496e-215,"3","MYL7"
"DUSP27",1.01158533626729e-218,0.562349527326338,0.438,0.024,1.55005221076237e-214,"3","DUSP27"
"PAIP2B",4.59447938349021e-218,0.922288492133933,0.648,0.091,7.04012075932205e-214,"3","PAIP2B"
"COX6C",1.45015971908539e-217,1.36226907679953,1,0.949,2.22207973755455e-213,"3","COX6C"
"LAMA2",3.00695582384574e-217,0.669677386014812,0.562,0.056,4.60755840887883e-213,"3","LAMA2"
"SGCA",3.70888932147484e-217,0.625002291860515,0.528,0.046,5.6831311072959e-213,"3","SGCA"
"COX5B",6.01396460285248e-217,1.44942729399063,0.998,0.964,9.21519796095086e-213,"3","COX5B"
