"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Camk2n12",5.97102985036036e-08,0.527531892635579,0.955,0.881,6.09045044736757e-05,"L1","Camk2n1"
"Pcdhac2",1.52251038662404e-06,1.4076940892422,0.18,0.059,0.00155296059435652,"L1","Pcdhac2"
"Cux22",1.36043963712507e-05,0.892146081052945,0.523,0.327,0.0138764842986757,"L1","Cux2"
"Btbd11",2.37855620735035e-05,0.973043003195559,0.532,0.359,0.0242612733149736,"L1","Btbd11"
"Bsg",6.53112507254391e-05,0.659848422286122,0.559,0.421,0.0666174757399479,"L1","Bsg"
"Mapk3",9.7276951652946e-05,0.93761221444135,0.243,0.115,0.099222490686005,"L1","Mapk3"
"Tmem176a",0.000110642398613413,1.11766297652847,0.297,0.158,0.112855246585681,"L1","Tmem176a"
"Itm2a1",0.000251929731995325,0.919005146927914,0.261,0.138,0.256968326635232,"L1","Itm2a"
"Pfn1",0.000263169403072857,1.08204983795012,0.252,0.134,0.268432791134314,"L1","Pfn1"
"Sdc4",0.000268061329872921,0.745242331588592,0.604,0.465,0.27342255647038,"L1","Sdc4"
"Wfs11",0.00029631495891192,0.98928383136213,0.171,0.074,0.302241258090158,"L1","Wfs1"
"Glul",0.000298060326625853,0.503452757975648,0.892,0.901,0.30402153315837,"L1","Glul"
"B2m",0.00040416362644854,0.716269682911794,0.432,0.278,0.412246898977511,"L1","B2m"
"Sgk1",0.000533049496082616,1.06983510053123,0.324,0.203,0.543710486004268,"L1","Sgk1"
"Nell21",0.000858621097127548,0.954794161389083,0.27,0.155,0.875793519070099,"L1","Nell2"
"Pcdh8",0.00125571201654819,0.62195574382669,0.378,0.244,1,"L1","Pcdh8"
"Myo5b",0.00179718935535024,0.90070579859649,0.162,0.078,1,"L1","Myo5b"
"Abhd3",0.00182577127041894,0.905809253477873,0.243,0.142,1,"L1","Abhd3"
"Slc38a3",0.00195386716508055,0.714677449834267,0.396,0.265,1,"L1","Slc38a3"
"Gpm6b",0.00196566010503703,0.580869578027183,0.694,0.577,1,"L1","Gpm6b"
"Aldh1l1",0.00210298085461146,1.12743497081162,0.207,0.115,1,"L1","Aldh1l1"
"Nat8f1",0.00231197303168397,1.05302218895438,0.27,0.162,1,"L1","Nat8f1"
"Inhba",0.00271758551204047,0.815773177187916,0.225,0.125,1,"L1","Inhba"
"C1ql3",0.0027851153657435,0.639644212840066,0.378,0.253,1,"L1","C1ql3"
"Nr2f2",0.00338392501263764,0.791983466933333,0.216,0.12,1,"L1","Nr2f2"
"Sepp1",0.00429975152166601,0.821260994073221,0.468,0.376,1,"L1","Sepp1"
"Prc1",0.00441091670242078,0.696924925762886,0.279,0.17,1,"L1","Prc1"
"Slc1a3",0.004660436064834,0.955980102905765,0.586,0.507,1,"L1","Slc1a3"
"Adarb2",0.00565075488436639,1.01822598311269,0.234,0.146,1,"L1","Adarb2"
"Stx12",0.00577312232730529,0.768215659866426,0.171,0.09,1,"L1","Stx12"
"Dgkb",0.00578102426201576,1.01262612333672,0.234,0.142,1,"L1","Dgkb"
"Sparc",0.00643701155910009,0.716197392038294,0.261,0.162,1,"L1","Sparc"
"Znhit3",0.00668606188525176,0.913540870272503,0.162,0.088,1,"L1","Znhit3"
"S100a16",0.00746874317921263,0.740087287671085,0.342,0.246,1,"L1","S100a16"
"Rgs81",0.00766765840187434,0.843395545842034,0.162,0.089,1,"L1","Rgs8"
"Tmbim6",0.00966760815941394,0.602362481921111,0.432,0.323,1,"L1","Tmbim6"
"Atp1b2",0.00973556273468001,0.611522750165142,0.36,0.256,1,"L1","Atp1b2"
"Hlf",0.00974488018813224,0.502057754224952,0.91,0.904,1,"L1","Hlf"
"Coro6",0.00982092969122705,0.550316648499994,0.252,0.157,1,"L1","Coro6"
"Mbp",1.86447304010502e-92,3.67951761077413,0.987,0.373,1.90176250090712e-89,"CC","Mbp"
"Mobp",1.75684021493073e-86,3.41546373895894,0.974,0.369,1.79197701922934e-83,"CC","Mobp"
"Plp1",3.28010186457621e-71,3.64234712853681,0.922,0.349,3.34570390186773e-68,"CC","Plp1"
"Gatm",1.01275762917043e-40,2.42423248169432,0.708,0.262,1.03301278175384e-37,"CC","Gatm"
"Trf",4.71802980866908e-40,2.51821910142948,0.623,0.186,4.81239040484246e-37,"CC","Trf"
