"","simulation","ARI","method"
"433","sim49",0.922625938547973,"scSpace"
"434","sim49",0.738918534130826,"louvain"
"435","sim49",0.752547431048779,"kmeans"
"436","sim49",0.617828720562889,"hclust"
"437","sim49",0.607242990516025,"scCoGAPS"
"438","sim49",0.762697025943316,"DR.SC"
"439","sim49",0.699094030602242,"BayesSpace"
"440","sim49",0.691607133892817,"SpaGCN"
"441","sim49",0.865773662086486,"STAGATE"
"442","sim50",0.850327190032294,"scSpace"
"443","sim50",0.671199286810225,"louvain"
"444","sim50",0.509087063886053,"kmeans"
"445","sim50",0.496639368201091,"hclust"
"446","sim50",0.630119387189266,"scCoGAPS"
"447","sim50",0.665913373483544,"DR.SC"
"448","sim50",0.60730304007477,"BayesSpace"
"449","sim50",0.581346483992783,"SpaGCN"
"450","sim50",0.752217267727626,"STAGATE"
"451","sim51",0.914446401365421,"scSpace"
"452","sim51",0.57436772930112,"louvain"
"453","sim51",0.618036823102358,"kmeans"
"454","sim51",0.0964796888316792,"hclust"
"455","sim51",0.0908071154996287,"scCoGAPS"
"456","sim51",0.111254006827338,"DR.SC"
"457","sim51",0.416454059113631,"BayesSpace"
"458","sim51",0.126466002461737,"SpaGCN"
"459","sim51",0.796398174631944,"STAGATE"
"460","sim52",0.678865656232695,"scSpace"
"461","sim52",0.393001491942705,"louvain"
"462","sim52",0.392302083427475,"kmeans"
"463","sim52",0.282277685745968,"hclust"
"464","sim52",0.317964417862201,"scCoGAPS"
"465","sim52",0.332880288999749,"DR.SC"
"466","sim52",0.365377858666732,"BayesSpace"
"467","sim52",0.247517098795114,"SpaGCN"
"468","sim52",0.485360735496176,"STAGATE"
"469","sim53",0.706418319255322,"scSpace"
"470","sim53",0.539452248456795,"louvain"
"471","sim53",0.54134510376159,"kmeans"
"472","sim53",0.446914309344467,"hclust"
"473","sim53",0.314092555320846,"scCoGAPS"
"474","sim53",0.532756440622301,"DR.SC"
"475","sim53",0.567503685775007,"BayesSpace"
"476","sim53",0.504478075494433,"SpaGCN"
"477","sim53",0.472689230271845,"STAGATE"
"478","sim54",0.812864856035647,"scSpace"
"479","sim54",0.563979124675898,"louvain"
"480","sim54",0.570783077524626,"kmeans"
"481","sim54",0.0976813701392351,"hclust"
"482","sim54",0.0940164533338272,"scCoGAPS"
"483","sim54",0.167306589009212,"DR.SC"
"484","sim54",0.398873508869411,"BayesSpace"
"485","sim54",0.130057533619934,"SpaGCN"
"486","sim54",0.238295406477184,"STAGATE"
"487","sim55",0.690908526214985,"scSpace"
"488","sim55",0.362715865941724,"louvain"
"489","sim55",0.313367571722287,"kmeans"
"490","sim55",0.186876880499484,"hclust"
"491","sim55",0.293032183913821,"scCoGAPS"
"492","sim55",0.371445671416538,"DR.SC"
"493","sim55",0.322793251877937,"BayesSpace"
"494","sim55",0.306152742647448,"SpaGCN"
"495","sim55",0.35410272649934,"STAGATE"
"496","sim56",0.836804416339878,"scSpace"
"497","sim56",0.630597252131286,"louvain"
"498","sim56",0.586960438093137,"kmeans"
"499","sim56",0.346785832406831,"hclust"
"500","sim56",0.491012670630961,"scCoGAPS"
"501","sim56",0.625748041844158,"DR.SC"
"502","sim56",0.567294678492868,"BayesSpace"
"503","sim56",0.483022734525013,"SpaGCN"
"504","sim56",0.406373993799415,"STAGATE"
"505","sim57",0.872452127489534,"scSpace"
"506","sim57",0.711437496229743,"louvain"
"507","sim57",0.639017454997764,"kmeans"
"508","sim57",0.0909744874042387,"hclust"
"509","sim57",0.439809597509659,"scCoGAPS"
"510","sim57",0.196370145105546,"DR.SC"
"511","sim57",0.595349051548719,"BayesSpace"
"512","sim57",0.441128607578678,"SpaGCN"
"513","sim57",0.645010846773056,"STAGATE"
"514","sim58",0.809613551320085,"scSpace"
"515","sim58",0.73488659996619,"louvain"
"516","sim58",0.707790525433583,"kmeans"
"517","sim58",0.288684423553129,"hclust"
"518","sim58",0.289990247142915,"scCoGAPS"
"519","sim58",0.566934341836775,"DR.SC"
"520","sim58",0.701681761487637,"BayesSpace"
"521","sim58",0.447697946152591,"SpaGCN"
"522","sim58",0.555594625234148,"STAGATE"
"523","sim59",0.837407909972871,"scSpace"
"524","sim59",0.750570411568502,"louvain"
"525","sim59",0.682804849959104,"kmeans"
"526","sim59",0.427216317376462,"hclust"
"527","sim59",0.331837689190665,"scCoGAPS"
"528","sim59",0.628143813442092,"DR.SC"
"529","sim59",0.744320786913669,"BayesSpace"
"530","sim59",0.530914016284995,"SpaGCN"
"531","sim59",0.732954752451859,"STAGATE"
"532","sim60",0.804946392729417,"scSpace"
"533","sim60",0.535921405937021,"louvain"
"534","sim60",0.638169157269615,"kmeans"
"535","sim60",0.0945046460785394,"hclust"
"536","sim60",0.0964443741221754,"scCoGAPS"
"537","sim60",0.257943237517809,"DR.SC"
"538","sim60",0.33714468248704,"BayesSpace"
"539","sim60",0.11874876609847,"SpaGCN"
"540","sim60",0.569257654502559,"STAGATE"
"541","sim61",0.964863563478795,"scSpace"
"542","sim61",0.817005321765822,"louvain"
"543","sim61",0.826144451238935,"kmeans"
"544","sim61",0.285188095924272,"hclust"
"545","sim61",0.598082855806267,"scCoGAPS"
"546","sim61",0.497476412788116,"DR.SC"
"547","sim61",0.617738752149144,"BayesSpace"
"548","sim61",0.308180862941727,"SpaGCN"
"549","sim61",0.750762152356369,"STAGATE"
"550","sim62",0.806532792580127,"scSpace"
"551","sim62",0.63711424370594,"louvain"
"552","sim62",0.637871537047979,"kmeans"
"553","sim62",0.432001338609419,"hclust"
"554","sim62",0.485773006707316,"scCoGAPS"
"555","sim62",0.51598843841794,"DR.SC"
"556","sim62",0.553790224883492,"BayesSpace"
"557","sim62",0.517572063179163,"SpaGCN"
"558","sim62",0.551263241765599,"STAGATE"
"559","sim63",0.712446147398525,"scSpace"
"560","sim63",0.475351945960097,"louvain"
"561","sim63",0.379237939728314,"kmeans"
"562","sim63",0.0824339666486032,"hclust"
"563","sim63",0.0767377137863586,"scCoGAPS"
"564","sim63",0.332677338210876,"DR.SC"
"565","sim63",0.163843946075517,"BayesSpace"
"566","sim63",0.0164646480242222,"SpaGCN"
"567","sim63",0.626387302041156,"STAGATE"
"568","sim64",0.767061920502516,"scSpace"
"569","sim64",0.697524792181911,"louvain"
"570","sim64",0.727773984912687,"kmeans"
"571","sim64",0.289507307631852,"hclust"
"572","sim64",0.490051865878241,"scCoGAPS"
"573","sim64",0.476420830236434,"DR.SC"
"574","sim64",0.540326795265668,"BayesSpace"
"575","sim64",0.384664612461694,"SpaGCN"
"576","sim64",0.453665883916391,"STAGATE"
"577","sim65",0.926751483865007,"scSpace"
"578","sim65",0.830062326002787,"louvain"
