"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","logp","group"
"CLEC5A",-0.16838688844326,5.60231372908976,-4.00230357636986,8.30955883076777e-05,0.000227681911963037,0.899464773723881,"CLEC5A",3.64267147024859,"no_sig"
"FGF9",-0.194953233047199,5.53572616092715,-3.99798501247109,8.45310581533984e-05,0.000230896197329361,0.883394379058481,"FGF9",3.63658321949718,"no_sig"
"ERO1A",0.212555872218412,6.10910277265573,3.99792974473645,8.45495807738901e-05,0.000230896197329361,0.883188813299652,"ERO1A",3.63658321949718,"no_sig"
"NDC1",-0.142129186655498,5.67034163399435,-3.99640885606393,8.5060813468704e-05,0.000231907093437064,0.877532916004345,"NDC1",3.634685967216,"no_sig"
"RFC3",-0.130416294835396,5.69679348181158,-3.98980292703012,8.73156353400804e-05,0.000237660437912404,0.852988604198611,"RFC3",3.62404310698163,"no_sig"
"CIC",0.125981602837777,5.66308994455194,3.98396709959055,8.93547582692888e-05,0.000242808632387952,0.831335220244521,"CIC",3.6147358771857,"no_sig"
"TRAF7",0.175061306485039,6.02259521218358,3.9833376516101,8.95773809285568e-05,0.000243011904697273,0.829001363165159,"TRAF7",3.61437245060871,"no_sig"
"BTLA",-0.190018994844994,5.57312065176147,-3.97767202868315,9.16050586739159e-05,0.000248080619388787,0.808009017909164,"BTLA",3.60540716245601,"no_sig"
"IRAK4",-0.122881411470758,5.7361610467167,-3.97727830766121,9.17475770002327e-05,0.000248080619388787,0.806551171424595,"IRAK4",3.60540716245601,"no_sig"
"CDKN1A",0.317155064344842,6.34713036450771,3.97084936896739,9.41047308302315e-05,0.000254036416231364,0.782764402047312,"CDKN1A",3.59510402261349,"no_sig"
"PLCB1",-0.167453348261901,5.63292941153311,-3.9691001135692,9.47559810178821e-05,0.000255375135726882,0.776298085169524,"PLCB1",3.59282138954042,"no_sig"
